video_id,video_label,text,published_at,like_count
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,"Bol ran poorly and was shattered, obviously. Sydney’s performance was one for the ages, something to be proud of later in her career if she doesn’t run that fast again. I thought the crown was unnecessary and insulting of your competitors. You’re running for your country in the Olympics.",2025-08-20T11:20:33Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,If you sit back and just see her race journey from just 2019-present this might be one of the greatest stretches for track ever. She in on Usain Bolt type domination. It is so hard to comprehend this whole thing.,2025-08-15T04:08:40Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,Where's the men's 400m hurdles final video?,2025-08-11T18:32:07Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,Such a special athlete. She's just amazing.,2025-08-10T23:49:12Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,"😂😂 and they stil prased bol to beat sydney 
Not in a million years😂😂",2025-08-06T17:30:13Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,Sydney runs fast no matter who she's competing against. The commentators deeply try to make Femke on her level but it's really Sydney vs the clock in every race.,2025-07-30T09:02:22Z,1
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,femke bol is the best in the........europe! be happy with that........,2025-07-27T07:21:23Z,1
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,What an honour to watch this live,2025-07-23T17:52:42Z,1
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,CRYYYYYYYYYYYYYYYYYY BOL.......CRYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYY,2025-07-05T15:20:50Z,1
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,Bi racials are the Future. Best of both worlds!,2025-07-04T09:00:54Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,There's only one greatest and it's definitely shows it.,2025-07-02T09:05:42Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,"Sidney is so remarkable and fluid, like a gazelle. Short note to those who forget about hurdle great: Edwin Moses is widely regarded as one of the greatest 400m hurdlers of all time. His career was marked by exceptional dominance, including a 122-race winning streak and multiple world records and Olympic gold medals.",2025-06-29T09:47:12Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,Sydney Mclaughlin-Levrone sets her new World Record holder again.,2025-06-28T15:32:31Z,0
